type,model,threshold,group,video,score,k_window_mean,prediction,is_false_positive,n,false_positives,false_positive_rate,ms_per_frame
video,original_sirch_model_h5,0.65,test_sport_v2,basketball_v2_06_8kqd4q1mIR4.mp4,0.018746,0.018746,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,basketball_v2_06_8kqd4q1mIR4.mp4,0.018746,0.018746,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,basketball_v2_07_WMG94RSTLxo.mp4,0.004224,0.004224,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,basketball_v2_07_WMG94RSTLxo.mp4,0.004224,0.004224,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,basketball_v2_07_WMG94RSTLxo.mp4,0.004224,0.004224,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,basketball_v2_08_0CReVRH-3D4.mp4,0.043153,0.043153,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,basketball_v2_08_0CReVRH-3D4.mp4,0.043153,0.043153,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,basketball_v2_08_0CReVRH-3D4.mp4,0.043153,0.043153,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,basketball_v2_09_ppy0BSfeF3Q.mp4,0.508609,0.508609,violence,1,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,basketball_v2_09_ppy0BSfeF3Q.mp4,0.508609,0.508609,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,basketball_v2_09_ppy0BSfeF3Q.mp4,0.508609,0.508609,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,basketball_v2_10_UbQoV8SDcOk.mp4,0.213757,0.213757,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,basketball_v2_10_UbQoV8SDcOk.mp4,0.213757,0.213757,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,basketball_v2_10_UbQoV8SDcOk.mp4,0.213757,0.213757,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,boxe_v2_01_8BPs176rYWw.mp4,0.171428,0.171428,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,boxe_v2_01_8BPs176rYWw.mp4,0.171428,0.171428,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,boxe_v2_01_8BPs176rYWw.mp4,0.171428,0.171428,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,boxe_v2_02_Ag_pn2P8BPI.mp4,0.416872,0.416872,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,boxe_v2_02_Ag_pn2P8BPI.mp4,0.416872,0.416872,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,boxe_v2_02_Ag_pn2P8BPI.mp4,0.416872,0.416872,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,boxe_v2_03_XBQeqirAPzM.mp4,0.081978,0.081978,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,boxe_v2_03_XBQeqirAPzM.mp4,0.081978,0.081978,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,boxe_v2_03_XBQeqirAPzM.mp4,0.081978,0.081978,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,boxe_v2_04_WeyqNKZfHLM.mp4,0.064876,0.064876,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,boxe_v2_04_WeyqNKZfHLM.mp4,0.064876,0.064876,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,boxe_v2_04_WeyqNKZfHLM.mp4,0.064876,0.064876,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,boxe_v2_05_sJyJwc7ADyM.mp4,0.043288,0.043288,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,boxe_v2_05_sJyJwc7ADyM.mp4,0.043288,0.043288,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,boxe_v2_05_sJyJwc7ADyM.mp4,0.043288,0.043288,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,football_v2_11_6AqhRKyJMuw.mp4,0.147953,0.147953,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,football_v2_11_6AqhRKyJMuw.mp4,0.147953,0.147953,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,football_v2_11_6AqhRKyJMuw.mp4,0.147953,0.147953,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,football_v2_12_VAKwh3rzfEs.mp4,0.753150,0.753150,violence,1,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,football_v2_12_VAKwh3rzfEs.mp4,0.753150,0.753150,violence,1,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,football_v2_12_VAKwh3rzfEs.mp4,0.753150,0.753150,violence,1,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,football_v2_13_gycJjkXmEI0.mp4,0.032442,0.032442,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,football_v2_13_gycJjkXmEI0.mp4,0.032442,0.032442,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,football_v2_13_gycJjkXmEI0.mp4,0.032442,0.032442,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,football_v2_14_pGRVqXaT2FU.mp4,0.954202,0.954202,violence,1,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,football_v2_14_pGRVqXaT2FU.mp4,0.954202,0.954202,violence,1,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,football_v2_14_pGRVqXaT2FU.mp4,0.954202,0.954202,violence,1,,,,
video,original_sirch_model_h5,0.50,test_sport_v2,football_v2_15_bWTtLN2V7hs.mp4,0.230481,0.230481,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_sport_v2,football_v2_15_bWTtLN2V7hs.mp4,0.230481,0.230481,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_sport_v2,football_v2_15_bWTtLN2V7hs.mp4,0.230481,0.230481,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_danse_v2,danse_v2_01_lhAtt3fR-TM.mp4,0.655827,0.655827,violence,1,,,,
video,original_sirch_model_h5,0.65,test_danse_v2,danse_v2_01_lhAtt3fR-TM.mp4,0.655827,0.655827,violence,1,,,,
video,original_sirch_model_h5,0.70,test_danse_v2,danse_v2_01_lhAtt3fR-TM.mp4,0.655827,0.655827,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_danse_v2,danse_v2_02_OBLrvjFEXQc.mp4,0.554461,0.554461,violence,1,,,,
video,original_sirch_model_h5,0.65,test_danse_v2,danse_v2_02_OBLrvjFEXQc.mp4,0.554461,0.554461,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_danse_v2,danse_v2_02_OBLrvjFEXQc.mp4,0.554461,0.554461,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_danse_v2,danse_v2_03_vLQ7wIeHSMM.mp4,0.984640,0.984640,violence,1,,,,
video,original_sirch_model_h5,0.65,test_danse_v2,danse_v2_03_vLQ7wIeHSMM.mp4,0.984640,0.984640,violence,1,,,,
video,original_sirch_model_h5,0.70,test_danse_v2,danse_v2_03_vLQ7wIeHSMM.mp4,0.984640,0.984640,violence,1,,,,
video,original_sirch_model_h5,0.50,test_danse_v2,danse_v2_04_EBZ5l8CJBbM.mp4,0.975898,0.975898,violence,1,,,,
video,original_sirch_model_h5,0.65,test_danse_v2,danse_v2_04_EBZ5l8CJBbM.mp4,0.975898,0.975898,violence,1,,,,
video,original_sirch_model_h5,0.70,test_danse_v2,danse_v2_04_EBZ5l8CJBbM.mp4,0.975898,0.975898,violence,1,,,,
video,original_sirch_model_h5,0.50,test_danse_v2,danse_v2_05_g5MxNjuQiV0.mp4,0.152384,0.152384,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_danse_v2,danse_v2_05_g5MxNjuQiV0.mp4,0.152384,0.152384,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_danse_v2,danse_v2_05_g5MxNjuQiV0.mp4,0.152384,0.152384,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_danse_v2,danse_v2_06_eUllT7imgxU.mp4,0.686196,0.686196,violence,1,,,,
video,original_sirch_model_h5,0.65,test_danse_v2,danse_v2_06_eUllT7imgxU.mp4,0.686196,0.686196,violence,1,,,,
video,original_sirch_model_h5,0.70,test_danse_v2,danse_v2_06_eUllT7imgxU.mp4,0.686196,0.686196,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_danse_v2,danse_v2_07_DwlUGY0kUkI.mp4,0.149638,0.149638,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_danse_v2,danse_v2_07_DwlUGY0kUkI.mp4,0.149638,0.149638,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_danse_v2,danse_v2_07_DwlUGY0kUkI.mp4,0.149638,0.149638,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_danse_v2,danse_v2_08_73jg9jRBvUg.mp4,0.967052,0.967052,violence,1,,,,
video,original_sirch_model_h5,0.65,test_danse_v2,danse_v2_08_73jg9jRBvUg.mp4,0.967052,0.967052,violence,1,,,,
video,original_sirch_model_h5,0.70,test_danse_v2,danse_v2_08_73jg9jRBvUg.mp4,0.967052,0.967052,violence,1,,,,
video,original_sirch_model_h5,0.50,test_danse_v2,danse_v2_09_ObCq7SzpOoI.mp4,0.885462,0.885462,violence,1,,,,
video,original_sirch_model_h5,0.65,test_danse_v2,danse_v2_09_ObCq7SzpOoI.mp4,0.885462,0.885462,violence,1,,,,
video,original_sirch_model_h5,0.70,test_danse_v2,danse_v2_09_ObCq7SzpOoI.mp4,0.885462,0.885462,violence,1,,,,
video,original_sirch_model_h5,0.50,test_danse_v2,danse_v2_10_XQ0-9ASl6U4.mp4,0.994485,0.994485,violence,1,,,,
video,original_sirch_model_h5,0.65,test_danse_v2,danse_v2_10_XQ0-9ASl6U4.mp4,0.994485,0.994485,violence,1,,,,
video,original_sirch_model_h5,0.70,test_danse_v2,danse_v2_10_XQ0-9ASl6U4.mp4,0.994485,0.994485,violence,1,,,,
video,original_sirch_model_h5,0.50,test_calme_v2,calme_v2_01_LEXStnAjOSc.mp4,0.742755,0.742755,violence,1,,,,
video,original_sirch_model_h5,0.65,test_calme_v2,calme_v2_01_LEXStnAjOSc.mp4,0.742755,0.742755,violence,1,,,,
video,original_sirch_model_h5,0.70,test_calme_v2,calme_v2_01_LEXStnAjOSc.mp4,0.742755,0.742755,violence,1,,,,
video,original_sirch_model_h5,0.50,test_calme_v2,calme_v2_02_zgziSxCEPWo.mp4,0.877296,0.877296,violence,1,,,,
video,original_sirch_model_h5,0.65,test_calme_v2,calme_v2_02_zgziSxCEPWo.mp4,0.877296,0.877296,violence,1,,,,
video,original_sirch_model_h5,0.70,test_calme_v2,calme_v2_02_zgziSxCEPWo.mp4,0.877296,0.877296,violence,1,,,,
video,original_sirch_model_h5,0.50,test_calme_v2,calme_v2_03_TC4dVacd_2w.mp4,0.974035,0.974035,violence,1,,,,
video,original_sirch_model_h5,0.65,test_calme_v2,calme_v2_03_TC4dVacd_2w.mp4,0.974035,0.974035,violence,1,,,,
video,original_sirch_model_h5,0.70,test_calme_v2,calme_v2_03_TC4dVacd_2w.mp4,0.974035,0.974035,violence,1,,,,
video,original_sirch_model_h5,0.50,test_calme_v2,calme_v2_04_llf3zCy7MTc.mp4,0.175352,0.175352,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_calme_v2,calme_v2_04_llf3zCy7MTc.mp4,0.175352,0.175352,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_calme_v2,calme_v2_04_llf3zCy7MTc.mp4,0.175352,0.175352,non_violence,0,,,,
video,original_sirch_model_h5,0.50,test_calme_v2,calme_v2_05_Q6JKHqSaV5E.mp4,0.476169,0.476169,non_violence,0,,,,
video,original_sirch_model_h5,0.65,test_calme_v2,calme_v2_05_Q6JKHqSaV5E.mp4,0.476169,0.476169,non_violence,0,,,,
video,original_sirch_model_h5,0.70,test_calme_v2,calme_v2_05_Q6JKHqSaV5E.mp4,0.476169,0.476169,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,basketball_v2_06_8kqd4q1mIR4.mp4,0.011813,0.011813,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,basketball_v2_06_8kqd4q1mIR4.mp4,0.011813,0.011813,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,basketball_v2_06_8kqd4q1mIR4.mp4,0.011813,0.011813,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,basketball_v2_07_WMG94RSTLxo.mp4,0.103022,0.103022,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,basketball_v2_07_WMG94RSTLxo.mp4,0.103022,0.103022,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,basketball_v2_07_WMG94RSTLxo.mp4,0.103022,0.103022,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,basketball_v2_08_0CReVRH-3D4.mp4,0.383708,0.383708,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,basketball_v2_08_0CReVRH-3D4.mp4,0.383708,0.383708,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,basketball_v2_08_0CReVRH-3D4.mp4,0.383708,0.383708,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,basketball_v2_09_ppy0BSfeF3Q.mp4,0.083499,0.083499,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,basketball_v2_09_ppy0BSfeF3Q.mp4,0.083499,0.083499,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,basketball_v2_09_ppy0BSfeF3Q.mp4,0.083499,0.083499,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,basketball_v2_10_UbQoV8SDcOk.mp4,0.056448,0.056448,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,basketball_v2_10_UbQoV8SDcOk.mp4,0.056448,0.056448,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,basketball_v2_10_UbQoV8SDcOk.mp4,0.056448,0.056448,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,boxe_v2_01_8BPs176rYWw.mp4,0.920612,0.920612,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,boxe_v2_01_8BPs176rYWw.mp4,0.920612,0.920612,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,boxe_v2_01_8BPs176rYWw.mp4,0.920612,0.920612,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,boxe_v2_02_Ag_pn2P8BPI.mp4,0.878839,0.878839,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,boxe_v2_02_Ag_pn2P8BPI.mp4,0.878839,0.878839,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,boxe_v2_02_Ag_pn2P8BPI.mp4,0.878839,0.878839,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,boxe_v2_03_XBQeqirAPzM.mp4,0.032613,0.032613,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,boxe_v2_03_XBQeqirAPzM.mp4,0.032613,0.032613,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,boxe_v2_03_XBQeqirAPzM.mp4,0.032613,0.032613,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,boxe_v2_04_WeyqNKZfHLM.mp4,0.180165,0.180165,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,boxe_v2_04_WeyqNKZfHLM.mp4,0.180165,0.180165,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,boxe_v2_04_WeyqNKZfHLM.mp4,0.180165,0.180165,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,boxe_v2_05_sJyJwc7ADyM.mp4,0.421265,0.421265,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,boxe_v2_05_sJyJwc7ADyM.mp4,0.421265,0.421265,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,boxe_v2_05_sJyJwc7ADyM.mp4,0.421265,0.421265,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,football_v2_11_6AqhRKyJMuw.mp4,0.015645,0.015645,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,football_v2_11_6AqhRKyJMuw.mp4,0.015645,0.015645,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,football_v2_11_6AqhRKyJMuw.mp4,0.015645,0.015645,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,football_v2_12_VAKwh3rzfEs.mp4,0.572688,0.572688,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,football_v2_12_VAKwh3rzfEs.mp4,0.572688,0.572688,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,football_v2_12_VAKwh3rzfEs.mp4,0.572688,0.572688,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,football_v2_13_gycJjkXmEI0.mp4,0.417108,0.417108,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,football_v2_13_gycJjkXmEI0.mp4,0.417108,0.417108,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,football_v2_13_gycJjkXmEI0.mp4,0.417108,0.417108,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,football_v2_14_pGRVqXaT2FU.mp4,0.694182,0.694182,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,football_v2_14_pGRVqXaT2FU.mp4,0.694182,0.694182,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,football_v2_14_pGRVqXaT2FU.mp4,0.694182,0.694182,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_sport_v2,football_v2_15_bWTtLN2V7hs.mp4,0.387439,0.387439,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_sport_v2,football_v2_15_bWTtLN2V7hs.mp4,0.387439,0.387439,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_sport_v2,football_v2_15_bWTtLN2V7hs.mp4,0.387439,0.387439,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_danse_v2,danse_v2_01_lhAtt3fR-TM.mp4,0.683696,0.683696,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_danse_v2,danse_v2_01_lhAtt3fR-TM.mp4,0.683696,0.683696,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_danse_v2,danse_v2_01_lhAtt3fR-TM.mp4,0.683696,0.683696,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_danse_v2,danse_v2_02_OBLrvjFEXQc.mp4,0.616470,0.616470,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_danse_v2,danse_v2_02_OBLrvjFEXQc.mp4,0.616470,0.616470,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_danse_v2,danse_v2_02_OBLrvjFEXQc.mp4,0.616470,0.616470,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_danse_v2,danse_v2_03_vLQ7wIeHSMM.mp4,0.970664,0.970664,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_danse_v2,danse_v2_03_vLQ7wIeHSMM.mp4,0.970664,0.970664,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_danse_v2,danse_v2_03_vLQ7wIeHSMM.mp4,0.970664,0.970664,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_danse_v2,danse_v2_04_EBZ5l8CJBbM.mp4,0.902134,0.902134,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_danse_v2,danse_v2_04_EBZ5l8CJBbM.mp4,0.902134,0.902134,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_danse_v2,danse_v2_04_EBZ5l8CJBbM.mp4,0.902134,0.902134,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_danse_v2,danse_v2_05_g5MxNjuQiV0.mp4,0.482208,0.482208,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_danse_v2,danse_v2_05_g5MxNjuQiV0.mp4,0.482208,0.482208,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_danse_v2,danse_v2_05_g5MxNjuQiV0.mp4,0.482208,0.482208,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_danse_v2,danse_v2_06_eUllT7imgxU.mp4,0.767555,0.767555,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_danse_v2,danse_v2_06_eUllT7imgxU.mp4,0.767555,0.767555,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_danse_v2,danse_v2_06_eUllT7imgxU.mp4,0.767555,0.767555,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_danse_v2,danse_v2_07_DwlUGY0kUkI.mp4,0.030620,0.030620,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_danse_v2,danse_v2_07_DwlUGY0kUkI.mp4,0.030620,0.030620,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_danse_v2,danse_v2_07_DwlUGY0kUkI.mp4,0.030620,0.030620,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_danse_v2,danse_v2_08_73jg9jRBvUg.mp4,0.922211,0.922211,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_danse_v2,danse_v2_08_73jg9jRBvUg.mp4,0.922211,0.922211,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_danse_v2,danse_v2_08_73jg9jRBvUg.mp4,0.922211,0.922211,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_danse_v2,danse_v2_09_ObCq7SzpOoI.mp4,0.309730,0.309730,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_danse_v2,danse_v2_09_ObCq7SzpOoI.mp4,0.309730,0.309730,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_danse_v2,danse_v2_09_ObCq7SzpOoI.mp4,0.309730,0.309730,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_danse_v2,danse_v2_10_XQ0-9ASl6U4.mp4,0.981229,0.981229,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_danse_v2,danse_v2_10_XQ0-9ASl6U4.mp4,0.981229,0.981229,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_danse_v2,danse_v2_10_XQ0-9ASl6U4.mp4,0.981229,0.981229,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_calme_v2,calme_v2_01_LEXStnAjOSc.mp4,0.517927,0.517927,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_calme_v2,calme_v2_01_LEXStnAjOSc.mp4,0.517927,0.517927,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_calme_v2,calme_v2_01_LEXStnAjOSc.mp4,0.517927,0.517927,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_calme_v2,calme_v2_02_zgziSxCEPWo.mp4,0.804899,0.804899,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_calme_v2,calme_v2_02_zgziSxCEPWo.mp4,0.804899,0.804899,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_calme_v2,calme_v2_02_zgziSxCEPWo.mp4,0.804899,0.804899,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_calme_v2,calme_v2_03_TC4dVacd_2w.mp4,0.632393,0.632393,violence,1,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_calme_v2,calme_v2_03_TC4dVacd_2w.mp4,0.632393,0.632393,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.70,test_calme_v2,calme_v2_03_TC4dVacd_2w.mp4,0.632393,0.632393,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.50,test_calme_v2,calme_v2_04_llf3zCy7MTc.mp4,0.085141,0.085141,non_violence,0,,,,
video,augmente_sirch_model_augmente_h5,0.65,test_calme_v2,calme_v2_04_llf3zCy7MTc.mp4,0.085141,0.085141,non_violence,0,,,,
