row_type,video_index,video,dataset_origin,k_window,threshold,n_frames_param,assumed_fps,source_fps,video_frames,sequence_scores_count,detected,alert_sequence_index,alert_frame_index,delay_seconds_at_25fps,delay_seconds_source_fps,alert_mean_score,max_sequence_score,mean_sequence_score,method_note
detail,6,C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0250.avi,RWF-2000,7,0.5,20,25.0,30.0,150,131,1,6,25,1.0,0.8333333333333334,0.6405571869441441,0.8368333578109741,0.6964479795735301,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,7,C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0015.avi,RWF-2000,3,0.5,20,25.0,30.0,150,131,1,2,21,0.84,0.7,0.7031490604082743,0.7807047963142395,0.6912708391670053,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,7,C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0015.avi,RWF-2000,5,0.5,20,25.0,30.0,150,131,1,4,23,0.92,0.7666666666666667,0.7103502869606018,0.7807047963142395,0.6912708391670053,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,7,C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0015.avi,RWF-2000,7,0.5,20,25.0,30.0,150,131,1,6,25,1.0,0.8333333333333334,0.7193910224097115,0.7807047963142395,0.6912708391670053,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,8,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_458.mp4,RLVS,3,0.5,20,25.0,30.0,138,119,1,2,21,0.84,0.7,0.95722496509552,0.9919689297676086,0.8678187587681938,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,8,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_458.mp4,RLVS,5,0.5,20,25.0,30.0,138,119,1,4,23,0.92,0.7666666666666667,0.9579009532928466,0.9919689297676086,0.8678187587681938,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,8,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_458.mp4,RLVS,7,0.5,20,25.0,30.0,138,119,1,6,25,1.0,0.8333333333333334,0.9565144351550511,0.9919689297676086,0.8678187587681938,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,9,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_429.mp4,RLVS,3,0.5,20,25.0,30.0,120,101,1,2,21,0.84,0.7,0.9962482651074728,0.9976012110710144,0.993626356715023,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,9,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_429.mp4,RLVS,5,0.5,20,25.0,30.0,120,101,1,4,23,0.92,0.7666666666666667,0.9963968992233276,0.9976012110710144,0.993626356715023,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,9,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_429.mp4,RLVS,7,0.5,20,25.0,30.0,120,101,1,6,25,1.0,0.8333333333333334,0.9964161600385394,0.9976012110710144,0.993626356715023,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,10,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_744.mp4,RLVS,3,0.5,20,25.0,29.97002997002997,147,128,1,2,21,0.84,0.7007,0.9948416948318481,0.9974331855773926,0.9910053201019764,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,10,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_744.mp4,RLVS,5,0.5,20,25.0,29.97002997002997,147,128,1,4,23,0.92,0.7674333333333333,0.9949281573295593,0.9974331855773926,0.9910053201019764,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
detail,10,C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_744.mp4,RLVS,7,0.5,20,25.0,29.97002997002997,147,128,1,6,25,1.0,0.8341666666666667,0.9949871897697449,0.9974331855773926,0.9910053201019764,"Delai mesure depuis le debut du clip violent, faute d annotation temporelle du debut exact de violence."
summary,,SUMMARY,GLOBAL,3,0.5,20,25.0,,,,10,,,0.8639999999999999,0.72007,,,,Moyenne sur 10/10 videos detectees; ecart-type dans les lignes summary_std.
summary_std,,SUMMARY_STD,GLOBAL,3,0.5,20,25.0,,,,10,,,0.07589466384404113,0.06322134045469845,,,,Ecart-type des delais sur les videos detectees.
summary,,SUMMARY,GLOBAL,5,0.5,20,25.0,,,,10,,,0.9400000000000001,0.78341,,,,Moyenne sur 10/10 videos detectees; ecart-type dans les lignes summary_std.
summary_std,,SUMMARY_STD,GLOBAL,5,0.5,20,25.0,,,,10,,,0.0632455532033676,0.05267824075823637,,,,Ecart-type des delais sur les videos detectees.
summary,,SUMMARY,GLOBAL,7,0.5,20,25.0,,,,10,,,1.016,0.8467500000000001,,,,Moyenne sur 10/10 videos detectees; ecart-type dans les lignes summary_std.
summary_std,,SUMMARY_STD,GLOBAL,7,0.5,20,25.0,,,,10,,,0.05059644256269404,0.0421352356872458,,,,Ecart-type des delais sur les videos detectees.
