model,display_name,video,true_label,score
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0484.avi,0,0.008467121981084347
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_337.mp4,1,0.9028154015541077
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_798.mp4,1,0.9664159417152405
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_757.mp4,1,0.9912968873977661
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_679.mp4,1,0.9850368499755859
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0635.avi,0,0.021520433947443962
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0150.avi,1,0.9931547045707703
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_685.mp4,1,0.9869081377983093
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_735.mp4,0,0.0027325479313731194
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_671.mp4,1,0.9701594710350037
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0611.avi,1,0.043327417224645615
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_390.mp4,1,0.9919374585151672
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_319.mp4,0,0.003929899539798498
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_172.mp4,0,0.0013487699907273054
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_379.mp4,0,0.00954710878431797
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0719.avi,0,0.2464388608932495
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0580.avi,1,0.9549763798713684
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_475.mp4,0,0.10132189095020294
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_122.mp4,1,0.9953458309173584
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0050.avi,0,0.8229222893714905
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\NonFight\rwf_val_nonfight_0121.avi,0,0.13201916217803955
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_487.mp4,1,0.9989637732505798
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0389.avi,1,0.7201797366142273
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_452.mp4,0,0.0005968448240309954
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0021.avi,1,0.975018322467804
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0442.avi,1,0.8127017021179199
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_103.mp4,1,0.9900053143501282
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_259.mp4,0,0.005928289145231247
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\NonFight\rwf_val_nonfight_0148.avi,0,0.2449040561914444
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_583.mp4,0,0.008121101185679436
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_632.mp4,1,0.994570255279541
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_819.mp4,0,0.000414503738284111
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0177.avi,0,0.8026552796363831
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0053.avi,1,0.9793795943260193
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_103.mp4,0,0.05498120188713074
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0122.avi,1,0.9591376185417175
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_877.mp4,1,0.7596126198768616
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0350.avi,0,0.0010199438547715545
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0572.avi,1,0.9914134740829468
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0771.avi,0,0.008785738609731197
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0613.avi,1,0.9144445061683655
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0763.avi,1,0.7818815112113953
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0509.avi,1,0.45658037066459656
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0636.avi,0,0.0007137559005059302
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0183.avi,1,0.9470254778862
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0111.avi,1,0.47351211309432983
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0364.avi,0,0.0626375749707222
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\NonFight\rwf_val_nonfight_0061.avi,0,0.9614795446395874
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_680.mp4,0,0.7889857888221741
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0794.avi,0,0.05790184065699577
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_214.mp4,1,0.6197802424430847
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_298.mp4,0,0.002548291813582182
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_788.mp4,0,0.9801065921783447
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_956.mp4,1,0.9946813583374023
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\NonFight\rwf_val_nonfight_0057.avi,0,0.6705120801925659
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_843.mp4,0,0.9189581871032715
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0211.avi,1,0.9362455010414124
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_210.mp4,0,0.0009999951580539346
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0626.avi,1,0.9864500164985657
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_506.mp4,0,0.0041585457511246204
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0490.avi,1,0.5492945313453674
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0151.avi,1,0.987426221370697
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0039.avi,1,0.9235954284667969
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_322.mp4,0,0.03933677077293396
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_607.mp4,0,0.004797718953341246
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0592.avi,0,0.04077386483550072
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0408.avi,1,0.45120754837989807
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_872.avi,0,0.0005524447187781334
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_398.mp4,1,0.9130085110664368
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_783.mp4,1,0.9963513612747192
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_236.mp4,0,0.001906404155306518
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0068.avi,0,0.7135124802589417
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_295.mp4,1,0.9971073865890503
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_694.mp4,0,0.0012690327130258083
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0038.avi,1,0.5683609247207642
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_794.mp4,0,0.10494299232959747
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0095.avi,0,0.0037778462283313274
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_154.mp4,0,0.0003006845945492387
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0317.avi,0,0.7697075605392456
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_214.mp4,0,0.0014391614822670817
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_161.mp4,0,0.0005115930689498782
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0034.avi,1,0.8368686437606812
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0752.avi,1,0.41603943705558777
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_877.avi,0,0.0008825634140521288
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0471.avi,0,0.0055917780846357346
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0175.avi,1,0.9372302889823914
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\NonFight\rwf_val_nonfight_0138.avi,0,0.6239920854568481
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_619.mp4,0,0.2197629064321518
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0184.avi,0,0.6488312482833862
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\NonFight\rwf_val_nonfight_0076.avi,0,0.004203020129352808
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0367.avi,0,0.0014168642228469253
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0085.avi,1,0.6142632961273193
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0125.avi,0,0.23897910118103027
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0086.avi,1,0.5560693144798279
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0612.avi,1,0.02075893245637417
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0371.avi,1,0.9854016304016113
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0484.avi,1,0.8499886393547058
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0340.avi,1,0.723595380783081
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\NonFight\rwf_val_nonfight_0113.avi,0,0.13509732484817505
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_53.mp4,1,0.9923269152641296
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0074.avi,1,0.9658753871917725
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0194.avi,1,0.9778661131858826
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_277.mp4,0,0.06367501616477966
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0113.avi,1,0.24308906495571136
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_184.mp4,1,0.9827699661254883
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_472.mp4,0,0.01478002592921257
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0008.avi,1,0.7486537098884583
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_196.mp4,1,0.9473565220832825
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_944.mp4,0,0.0064401281997561455
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0021.avi,1,0.959858238697052
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_159.mp4,1,0.9919177889823914
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_158.mp4,0,0.0014451913302764297
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0575.avi,0,0.0026627101469784975
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0036.avi,1,0.95489501953125
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_108.mp4,1,0.9868678450584412
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0013.avi,1,0.9479576945304871
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0667.avi,1,0.8318489789962769
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_724.mp4,1,0.9768797755241394
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0376.avi,1,0.061585333198308945
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_857.mp4,0,0.0016384669579565525
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_356.mp4,0,0.3964257836341858
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_109.mp4,0,0.2987833619117737
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_928.mp4,1,0.9962989091873169
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_971.mp4,1,0.9930932521820068
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0198.avi,1,0.9360489845275879
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0664.avi,1,0.8701773881912231
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0469.avi,0,0.011311065405607224
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0453.avi,0,0.8746987581253052
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_353.mp4,0,0.20469129085540771
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0255.avi,0,0.00889684446156025
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_970.mp4,1,0.9918665885925293
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_164.mp4,1,0.9965202212333679
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0542.avi,0,0.36330845952033997
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_38.mp4,0,0.0036363410763442516
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_7.mp4,1,0.9712669849395752
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0443.avi,1,0.12043803185224533
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0345.avi,0,0.028440428897738457
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0477.avi,0,0.9074333310127258
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_267.mp4,1,0.974571168422699
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_884.avi,0,0.0003147390962112695
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0182.avi,1,0.8105307221412659
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0539.avi,1,0.5929992198944092
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0785.avi,1,0.9851869344711304
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0705.avi,1,0.8741114139556885
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_377.mp4,1,0.00695472676306963
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\NonFight\rwf_val_nonfight_0128.avi,0,0.3908434212207794
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_462.mp4,1,0.9644818902015686
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0045.avi,0,0.002923686057329178
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0448.avi,0,0.0013863927451893687
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0420.avi,0,0.813491940498352
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0623.avi,1,0.029885614290833473
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\NonViolence\NV_279.mp4,0,0.0017554940422996879
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_5.mp4,1,0.9859704971313477
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\Fight\rwf_val_fight_0083.avi,1,0.9584683179855347
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0125.avi,1,0.9817653298377991
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_871.mp4,1,0.9981921911239624
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_34.mp4,1,0.939495861530304
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\NonFight\rwf_train_nonfight_0138.avi,0,0.0020605449099093676
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\val\NonFight\rwf_val_nonfight_0100.avi,0,0.9069967865943909
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0295.avi,1,0.6561978459358215
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0223.avi,1,0.9764906167984009
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0279.avi,1,0.6471279263496399
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RLVS\Real Life Violence Dataset\Violence\V_190.mp4,1,0.9787459969520569
original,SIRCH original (epoch 4),C:\SIRCH_ENV\datasets\RWF-2000\train\Fight\rwf_train_fight_0230.avi,1,0.9909100532531738
