model,group,video,score,prediction_theta_0.50,is_false_positive_theta_0.50,k_mean_theta_0.50,prediction_theta_0.65,is_false_positive_theta_0.65,k_mean_theta_0.65,prediction_theta_0.70,is_false_positive_theta_0.70,k_mean_theta_0.70
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\football_01_eMr6OOmLlJs.mp4,0.11795272678136826,non_violence,0,0.11795272678136826,non_violence,0,0.11795272678136826,non_violence,0,0.11795272678136826
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\football_02_O1x9Nrp5TTU.mp4,0.17609353363513947,non_violence,0,0.17609353363513947,non_violence,0,0.17609353363513947,non_violence,0,0.17609353363513947
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\football_03_wnVJcY_ECH4.mp4,0.44929659366607666,non_violence,0,0.44929659366607666,non_violence,0,0.44929659366607666,non_violence,0,0.44929659366607666
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\football_04_7I2Ge845PXg.mp4,0.0710812360048294,non_violence,0,0.0710812360048294,non_violence,0,0.0710812360048294,non_violence,0,0.0710812360048294
augmente_sirch_model_augmente_h5,test_sport,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_sport\football_05_qh7UrU9wVMo.mp4,0.24674955010414124,non_violence,0,0.24674955010414124,non_violence,0,0.24674955010414124,non_violence,0,0.24674955010414124
augmente_sirch_model_augmente_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\contemporaine_01_CoPUfvwcHmE.mp4,0.43746325373649597,non_violence,0,0.43746325373649597,non_violence,0,0.43746325373649597,non_violence,0,0.43746325373649597
augmente_sirch_model_augmente_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\contemporaine_02_bHAgWyVXytg.mp4,0.2966001033782959,non_violence,0,0.2966001033782959,non_violence,0,0.2966001033782959,non_violence,0,0.2966001033782959
augmente_sirch_model_augmente_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\contemporaine_03_LN9Y1JnGCUU.mp4,0.5194661021232605,violence,1,0.5194661021232605,non_violence,0,0.5194661021232605,non_violence,0,0.5194661021232605
augmente_sirch_model_augmente_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\contemporaine_04_ZN8iSru6_7k.mp4,0.616402268409729,violence,1,0.616402268409729,non_violence,0,0.616402268409729,non_violence,0,0.616402268409729
augmente_sirch_model_augmente_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\contemporaine_05_FHTD9GHVhx8.mp4,0.04903445392847061,non_violence,0,0.04903445392847061,non_violence,0,0.04903445392847061,non_violence,0,0.04903445392847061
augmente_sirch_model_augmente_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\hiphop_01_gqE3cXWHQRo.mp4,0.49374330043792725,non_violence,0,0.49374330043792725,non_violence,0,0.49374330043792725,non_violence,0,0.49374330043792725
augmente_sirch_model_augmente_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\hiphop_02_FYzyvVwYvWk.mp4,0.07619870454072952,non_violence,0,0.07619870454072952,non_violence,0,0.07619870454072952,non_violence,0,0.07619870454072952
augmente_sirch_model_augmente_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\hiphop_03_4JltE1OcI8U.mp4,0.7609676122665405,violence,1,0.7609676122665405,violence,1,0.7609676122665405,violence,1,0.7609676122665405
augmente_sirch_model_augmente_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\hiphop_04_Gf6YmTG-s3k.mp4,0.0862424448132515,non_violence,0,0.0862424448132515,non_violence,0,0.0862424448132515,non_violence,0,0.0862424448132515
augmente_sirch_model_augmente_h5,test_danse,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_danse\hiphop_05_T-1uuAbQNRc.mp4,0.27493470907211304,non_violence,0,0.27493470907211304,non_violence,0,0.27493470907211304,non_violence,0,0.27493470907211304
augmente_sirch_model_augmente_h5,test_calme,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_calme\calme_01_A_ji2AxKSqU.mp4,0.0009213699959218502,non_violence,0,0.0009213699959218502,non_violence,0,0.0009213699959218502,non_violence,0,0.0009213699959218502
augmente_sirch_model_augmente_h5,test_calme,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_calme\calme_02_QOtoI9I9diw.mp4,0.49431896209716797,non_violence,0,0.49431896209716797,non_violence,0,0.49431896209716797,non_violence,0,0.49431896209716797
augmente_sirch_model_augmente_h5,test_calme,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_calme\calme_03_TGC4asdjd8Q.mp4,0.009795690886676311,non_violence,0,0.009795690886676311,non_violence,0,0.009795690886676311,non_violence,0,0.009795690886676311
augmente_sirch_model_augmente_h5,test_calme,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_calme\calme_04_xnNg0G6hT_A.mp4,0.001479216618463397,non_violence,0,0.001479216618463397,non_violence,0,0.001479216618463397,non_violence,0,0.001479216618463397
augmente_sirch_model_augmente_h5,test_calme,C:\Users\djtra\Documents\Codex\2026-05-19\files-mentioned-by-the-user-sirch\SIRCH\datasets\test_calme\calme_05_H0ZPRUJ5eYU.mp4,0.14856694638729095,non_violence,0,0.14856694638729095,non_violence,0,0.14856694638729095,non_violence,0,0.14856694638729095
