split,split_index,dataset,category,label,label_name,relative_path,size_bytes,sha256,video_id,source_url,license,historical_evidence
train,10,historical_enrichment_v1,football,0,non_violence,test_sport/football_01_eMr6OOmLlJs.mp4,621068,e44c9c83a7ab784012ec5ef2aa87cf3fadbf9ce2cdff1130cf00c32204fc286e,eMr6OOmLlJs,https://www.youtube.com/watch?v=eMr6OOmLlJs,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,11,historical_enrichment_v1,football,0,non_violence,test_sport/football_02_O1x9Nrp5TTU.mp4,687523,f3de46bea3f48dedffb155934595075b3650d24fdd52c7dc216401e2ceda1236,O1x9Nrp5TTU,https://www.youtube.com/watch?v=O1x9Nrp5TTU,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,12,historical_enrichment_v1,football,0,non_violence,test_sport/football_03_wnVJcY_ECH4.mp4,614971,2e4492780671f9fb6215562566cb366027bd2509b1b4f3cd9e47fae93013787f,wnVJcY_ECH4,https://www.youtube.com/watch?v=wnVJcY_ECH4,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,13,historical_enrichment_v1,football,0,non_violence,test_sport/football_04_7I2Ge845PXg.mp4,722074,5e3a7a6c12a4cbbe2ce5f71580d823bed996c6734020ddf84247a2519ab45ba8,7I2Ge845PXg,https://www.youtube.com/watch?v=7I2Ge845PXg,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,14,historical_enrichment_v1,football,0,non_violence,test_sport/football_05_qh7UrU9wVMo.mp4,443709,c3f1d6fb12d7f23b7f9afc8ac9285a09c4e19b03738c7a68839a03074c5e7ffd,qh7UrU9wVMo,https://www.youtube.com/watch?v=qh7UrU9wVMo,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,15,historical_enrichment_v1,contemporaine,0,non_violence,test_danse/contemporaine_01_CoPUfvwcHmE.mp4,5798967,8ea57f0d52bd2c5a3fc99e4febb0502b3aed9d7f321cae3458efca59bf0c9ddd,CoPUfvwcHmE,https://www.youtube.com/watch?v=CoPUfvwcHmE,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,16,historical_enrichment_v1,contemporaine,0,non_violence,test_danse/contemporaine_02_bHAgWyVXytg.mp4,3302216,896fc58d3df495c1f05fbb84e8c54bf03dd6c1504a14202a485a58550f7cec1b,bHAgWyVXytg,https://www.youtube.com/watch?v=bHAgWyVXytg,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,17,historical_enrichment_v1,contemporaine,0,non_violence,test_danse/contemporaine_03_LN9Y1JnGCUU.mp4,1816585,047ea89e456c21339d72d1e5c4178b3a5ddc2411c784764a30ff1acc10a63e21,LN9Y1JnGCUU,https://www.youtube.com/watch?v=LN9Y1JnGCUU,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,18,historical_enrichment_v1,contemporaine,0,non_violence,test_danse/contemporaine_04_ZN8iSru6_7k.mp4,3083461,2054c206190138bb816f6b555abba0a95e0331085f8e501d3a7032f0be953939,ZN8iSru6_7k,https://www.youtube.com/watch?v=ZN8iSru6_7k,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,19,historical_enrichment_v1,contemporaine,0,non_violence,test_danse/contemporaine_05_FHTD9GHVhx8.mp4,1890150,de5d3f46f1ad65f76f874d8e677be28bcc5c9118807938a3ee985c27f3ce6efe,FHTD9GHVhx8,https://www.youtube.com/watch?v=FHTD9GHVhx8,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,20,historical_enrichment_v1,hiphop,0,non_violence,test_danse/hiphop_01_gqE3cXWHQRo.mp4,1897587,4bb7457ceb5ea5ff9be607f2d51a7eb578f9374965be1a95bc28db93b36ba22b,gqE3cXWHQRo,https://www.youtube.com/watch?v=gqE3cXWHQRo,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,21,historical_enrichment_v1,hiphop,0,non_violence,test_danse/hiphop_02_FYzyvVwYvWk.mp4,863895,829cec1b6bbfc476b751d655bbf53f238814ec6611373182cc30d4c4e26857cd,FYzyvVwYvWk,https://www.youtube.com/watch?v=FYzyvVwYvWk,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,22,historical_enrichment_v1,hiphop,0,non_violence,test_danse/hiphop_03_4JltE1OcI8U.mp4,6653541,70fbc2b4248a9f824cb3a9f1160fb32a8ecf1d6afbeb123f55e7eb36bbd61f6c,4JltE1OcI8U,https://www.youtube.com/watch?v=4JltE1OcI8U,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,23,historical_enrichment_v1,hiphop,0,non_violence,test_danse/hiphop_04_Gf6YmTG-s3k.mp4,1871281,edc55438f0ccdf81460f852649593aa8d24119194a183522041a95ca5f8a0bad,Gf6YmTG-s3k,https://www.youtube.com/watch?v=Gf6YmTG-s3k,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
train,24,historical_enrichment_v1,hiphop,0,non_violence,test_danse/hiphop_05_T-1uuAbQNRc.mp4,393099,1099a785da0a94a6826f711439f2bd328523d672ebaafe073ad27fde0b847c9a,T-1uuAbQNRc,https://www.youtube.com/watch?v=T-1uuAbQNRc,Creative Commons Attribution license (reuse allowed),SIRCH_CONTEXT_CODEX_V2_CLAUDECODE.md and test_faux_positifs_seuils.txt
