scene_group_id,group_origin,perceptual_cluster_ids,size,label_0_count,label_1_count,old_train_count,old_validation_count,old_test_count,new_split,moved_count
cluster_0153,perceptual_near_duplicate,cluster_0153,2,2,0,1,1,0,validation,1
cluster_0154,perceptual_near_duplicate,cluster_0154,2,2,0,1,1,0,validation,1
cluster_0155,perceptual_near_duplicate,cluster_0155,2,2,0,1,1,0,validation,1
cluster_0156,perceptual_near_duplicate,cluster_0156,2,2,0,1,1,0,validation,1
cluster_0157,perceptual_near_duplicate,cluster_0157,2,2,0,1,1,0,validation,1
cluster_0158,perceptual_near_duplicate,cluster_0158,2,2,0,1,1,0,validation,1
cluster_0159,perceptual_near_duplicate,cluster_0159,2,2,0,1,1,0,validation,1
cluster_0160,perceptual_near_duplicate,cluster_0160,2,2,0,1,1,0,validation,1
cluster_0161,perceptual_near_duplicate,cluster_0161,2,2,0,1,1,0,validation,1
cluster_0162,perceptual_near_duplicate,cluster_0162,2,2,0,1,1,0,validation,1
cluster_0163,perceptual_near_duplicate,cluster_0163,2,2,0,1,1,0,train,1
cluster_0164,perceptual_near_duplicate,cluster_0164,2,2,0,1,1,0,train,1
cluster_0165,perceptual_near_duplicate,cluster_0165,2,2,0,1,1,0,validation,1
cluster_0166,perceptual_near_duplicate,cluster_0166,2,2,0,1,1,0,validation,1
cluster_0167,perceptual_near_duplicate,cluster_0167,2,2,0,1,1,0,validation,1
cluster_0168,perceptual_near_duplicate,cluster_0168,2,2,0,1,1,0,validation,1
cluster_0169,perceptual_near_duplicate,cluster_0169,2,0,2,1,1,0,validation,1
cluster_0170,perceptual_near_duplicate,cluster_0170,2,0,2,1,1,0,validation,1
cluster_0171,perceptual_near_duplicate,cluster_0171,2,1,1,1,1,0,validation,1
cluster_0172,perceptual_near_duplicate,cluster_0172,2,0,2,1,1,0,validation,1
cluster_0173,perceptual_near_duplicate,cluster_0173,2,0,2,1,1,0,validation,1
cluster_0174,perceptual_near_duplicate,cluster_0174,2,0,2,1,1,0,validation,1
cluster_0175,perceptual_near_duplicate,cluster_0175,2,0,2,1,1,0,validation,1
cluster_0176,perceptual_near_duplicate,cluster_0176,2,0,2,1,1,0,validation,1
cluster_0177,perceptual_near_duplicate,cluster_0177,2,0,2,1,1,0,validation,1
cluster_0178,perceptual_near_duplicate,cluster_0178,2,0,2,1,1,0,validation,1
cluster_0179,perceptual_near_duplicate,cluster_0179,2,2,0,1,1,0,validation,1
cluster_0180,perceptual_near_duplicate,cluster_0180,2,2,0,1,1,0,validation,1
cluster_0181,perceptual_near_duplicate,cluster_0181,2,2,0,1,1,0,validation,1
cluster_0182,perceptual_near_duplicate,cluster_0182,2,2,0,1,1,0,validation,1
cluster_0183,perceptual_near_duplicate,cluster_0183,2,2,0,1,1,0,validation,1
cluster_0184,perceptual_near_duplicate,cluster_0184,2,2,0,1,1,0,validation,1
cluster_0185,perceptual_near_duplicate,cluster_0185,2,1,1,1,1,0,validation,1
cluster_0186,perceptual_near_duplicate,cluster_0186,2,2,0,1,1,0,train,1
cluster_0187,perceptual_near_duplicate,cluster_0187,2,2,0,1,1,0,validation,1
cluster_0188,perceptual_near_duplicate,cluster_0188,2,1,1,1,1,0,validation,1
cluster_0189,perceptual_near_duplicate,cluster_0189,2,1,1,1,1,0,validation,1
cluster_0190,perceptual_near_duplicate,cluster_0190,2,0,2,1,1,0,validation,1
cluster_0191,perceptual_near_duplicate,cluster_0191,2,2,0,1,1,0,validation,1
exact_sha_group_0001,exact_sha256,,2,2,0,2,0,0,train,0
exact_sha_group_0002,exact_sha256,,2,2,0,2,0,0,train,0
exact_sha_group_0003,exact_sha256,,2,0,2,2,0,0,train,0
exact_sha_group_0004,exact_sha256,,2,0,2,2,0,0,train,0
exact_sha_group_0005,exact_sha256,,2,0,2,2,0,0,train,0
exact_sha_group_0006,exact_sha256,,2,0,2,2,0,0,train,0
exact_sha_group_0007,exact_sha256,,2,0,2,2,0,0,train,0
exact_sha_group_0008,exact_sha256,,2,2,0,0,0,2,test,0
exact_sha_group_0009,exact_sha256,,2,2,0,2,0,0,train,0
exact_sha_group_0010,exact_sha256,,2,2,0,2,0,0,train,0
exact_sha_group_0011,exact_sha256,,2,2,0,2,0,0,train,0
exact_sha_group_0012,exact_sha256,,2,2,0,2,0,0,train,0
exact_sha_group_0013,exact_sha256,,2,2,0,2,0,0,train,0
singleton_0001,singleton,,1,1,0,1,0,0,train,0
singleton_0002,singleton,,1,1,0,0,0,1,test,0
singleton_0003,singleton,,1,1,0,1,0,0,train,0
singleton_0004,singleton,,1,1,0,1,0,0,train,0
singleton_0005,singleton,,1,1,0,1,0,0,train,0
singleton_0006,singleton,,1,1,0,1,0,0,train,0
singleton_0007,singleton,,1,1,0,1,0,0,train,0
singleton_0008,singleton,,1,1,0,1,0,0,train,0
singleton_0009,singleton,,1,1,0,0,0,1,test,0
singleton_0010,singleton,,1,1,0,0,1,0,validation,0
singleton_0011,singleton,,1,1,0,0,0,1,test,0
singleton_0012,singleton,,1,1,0,1,0,0,train,0
singleton_0013,singleton,,1,1,0,0,0,1,test,0
singleton_0014,singleton,,1,1,0,1,0,0,train,0
singleton_0015,singleton,,1,1,0,1,0,0,train,0
singleton_0016,singleton,,1,1,0,1,0,0,train,0
singleton_0017,singleton,,1,1,0,1,0,0,train,0
singleton_0018,singleton,,1,1,0,1,0,0,train,0
singleton_0019,singleton,,1,1,0,0,0,1,test,0
singleton_0020,singleton,,1,1,0,0,0,1,test,0
singleton_0021,singleton,,1,1,0,1,0,0,train,0
singleton_0022,singleton,,1,1,0,1,0,0,train,0
singleton_0023,singleton,,1,1,0,1,0,0,train,0
singleton_0024,singleton,,1,1,0,0,0,1,test,0
singleton_0025,singleton,,1,1,0,1,0,0,train,0
singleton_0026,singleton,,1,1,0,0,0,1,test,0
singleton_0027,singleton,,1,1,0,0,0,1,test,0
singleton_0028,singleton,,1,1,0,1,0,0,train,0
singleton_0029,singleton,,1,1,0,1,0,0,train,0
singleton_0030,singleton,,1,1,0,1,0,0,train,0
singleton_0031,singleton,,1,1,0,1,0,0,train,0
singleton_0032,singleton,,1,1,0,0,1,0,validation,0
singleton_0033,singleton,,1,1,0,0,1,0,validation,0
singleton_0034,singleton,,1,1,0,1,0,0,train,0
singleton_0035,singleton,,1,1,0,1,0,0,train,0
singleton_0036,singleton,,1,1,0,0,1,0,validation,0
singleton_0037,singleton,,1,1,0,1,0,0,train,0
singleton_0038,singleton,,1,1,0,0,1,0,validation,0
singleton_0039,singleton,,1,1,0,0,1,0,validation,0
singleton_0040,singleton,,1,1,0,1,0,0,train,0
singleton_0041,singleton,,1,1,0,1,0,0,train,0
singleton_0042,singleton,,1,1,0,0,0,1,test,0
singleton_0043,singleton,,1,1,0,1,0,0,train,0
singleton_0044,singleton,,1,1,0,1,0,0,train,0
singleton_0045,singleton,,1,1,0,0,0,1,test,0
singleton_0046,singleton,,1,1,0,1,0,0,train,0
singleton_0047,singleton,,1,1,0,1,0,0,train,0
singleton_0048,singleton,,1,1,0,1,0,0,train,0
singleton_0049,singleton,,1,1,0,1,0,0,train,0
singleton_0050,singleton,,1,1,0,0,1,0,validation,0
singleton_0051,singleton,,1,1,0,1,0,0,train,0
singleton_0052,singleton,,1,1,0,1,0,0,train,0
singleton_0053,singleton,,1,1,0,1,0,0,train,0
singleton_0054,singleton,,1,1,0,1,0,0,train,0
singleton_0055,singleton,,1,1,0,1,0,0,train,0
singleton_0056,singleton,,1,1,0,1,0,0,train,0
singleton_0057,singleton,,1,1,0,1,0,0,train,0
singleton_0058,singleton,,1,1,0,0,0,1,test,0
singleton_0059,singleton,,1,1,0,1,0,0,train,0
singleton_0060,singleton,,1,1,0,0,0,1,test,0
singleton_0061,singleton,,1,1,0,1,0,0,train,0
singleton_0062,singleton,,1,1,0,1,0,0,train,0
singleton_0063,singleton,,1,1,0,1,0,0,train,0
singleton_0064,singleton,,1,1,0,1,0,0,train,0
singleton_0065,singleton,,1,1,0,0,0,1,test,0
singleton_0066,singleton,,1,1,0,1,0,0,train,0
singleton_0067,singleton,,1,1,0,1,0,0,train,0
singleton_0068,singleton,,1,1,0,1,0,0,train,0
singleton_0069,singleton,,1,1,0,0,1,0,validation,0
singleton_0070,singleton,,1,1,0,0,0,1,test,0
singleton_0071,singleton,,1,1,0,1,0,0,train,0
singleton_0072,singleton,,1,1,0,1,0,0,train,0
singleton_0073,singleton,,1,1,0,1,0,0,train,0
singleton_0074,singleton,,1,1,0,1,0,0,train,0
singleton_0075,singleton,,1,1,0,1,0,0,train,0
singleton_0076,singleton,,1,1,0,0,0,1,test,0
singleton_0077,singleton,,1,1,0,1,0,0,train,0
singleton_0078,singleton,,1,1,0,1,0,0,train,0
singleton_0079,singleton,,1,1,0,1,0,0,train,0
singleton_0080,singleton,,1,1,0,1,0,0,train,0
singleton_0081,singleton,,1,1,0,0,0,1,test,0
singleton_0082,singleton,,1,1,0,1,0,0,train,0
singleton_0083,singleton,,1,1,0,1,0,0,train,0
singleton_0084,singleton,,1,1,0,1,0,0,train,0
singleton_0085,singleton,,1,1,0,0,1,0,validation,0
singleton_0086,singleton,,1,1,0,0,0,1,test,0
singleton_0087,singleton,,1,1,0,1,0,0,train,0
singleton_0088,singleton,,1,1,0,0,0,1,test,0
singleton_0089,singleton,,1,1,0,1,0,0,train,0
singleton_0090,singleton,,1,1,0,1,0,0,train,0
singleton_0091,singleton,,1,1,0,1,0,0,train,0
singleton_0092,singleton,,1,1,0,1,0,0,train,0
singleton_0093,singleton,,1,1,0,0,1,0,validation,0
singleton_0094,singleton,,1,1,0,0,0,1,test,0
singleton_0095,singleton,,1,1,0,1,0,0,train,0
singleton_0096,singleton,,1,1,0,1,0,0,train,0
singleton_0097,singleton,,1,1,0,0,1,0,validation,0
singleton_0098,singleton,,1,1,0,1,0,0,train,0
singleton_0099,singleton,,1,1,0,1,0,0,train,0
singleton_0100,singleton,,1,1,0,1,0,0,train,0
singleton_0101,singleton,,1,1,0,1,0,0,train,0
singleton_0102,singleton,,1,1,0,1,0,0,train,0
singleton_0103,singleton,,1,1,0,1,0,0,train,0
singleton_0104,singleton,,1,1,0,0,0,1,test,0
singleton_0105,singleton,,1,1,0,1,0,0,train,0
singleton_0106,singleton,,1,1,0,1,0,0,train,0
singleton_0107,singleton,,1,1,0,0,0,1,test,0
singleton_0108,singleton,,1,1,0,1,0,0,train,0
singleton_0109,singleton,,1,1,0,0,1,0,validation,0
singleton_0110,singleton,,1,1,0,1,0,0,train,0
singleton_0111,singleton,,1,1,0,0,0,1,test,0
singleton_0112,singleton,,1,1,0,0,0,1,test,0
singleton_0113,singleton,,1,1,0,1,0,0,train,0
singleton_0114,singleton,,1,1,0,0,1,0,validation,0
singleton_0115,singleton,,1,1,0,1,0,0,train,0
singleton_0116,singleton,,1,1,0,1,0,0,train,0
singleton_0117,singleton,,1,1,0,1,0,0,train,0
singleton_0118,singleton,,1,1,0,0,1,0,validation,0
singleton_0119,singleton,,1,1,0,1,0,0,train,0
singleton_0120,singleton,,1,1,0,1,0,0,train,0
singleton_0121,singleton,,1,1,0,1,0,0,train,0
singleton_0122,singleton,,1,1,0,0,1,0,validation,0
singleton_0123,singleton,,1,1,0,1,0,0,train,0
singleton_0124,singleton,,1,1,0,1,0,0,train,0
singleton_0125,singleton,,1,1,0,1,0,0,train,0
singleton_0126,singleton,,1,1,0,1,0,0,train,0
singleton_0127,singleton,,1,1,0,0,1,0,validation,0
singleton_0128,singleton,,1,1,0,0,0,1,test,0
singleton_0129,singleton,,1,1,0,0,0,1,test,0
singleton_0130,singleton,,1,1,0,1,0,0,train,0
singleton_0131,singleton,,1,1,0,1,0,0,train,0
singleton_0132,singleton,,1,1,0,0,0,1,test,0
singleton_0133,singleton,,1,1,0,1,0,0,train,0
singleton_0134,singleton,,1,1,0,1,0,0,train,0
singleton_0135,singleton,,1,1,0,1,0,0,train,0
singleton_0136,singleton,,1,1,0,1,0,0,train,0
singleton_0137,singleton,,1,1,0,0,1,0,validation,0
singleton_0138,singleton,,1,1,0,1,0,0,train,0
singleton_0139,singleton,,1,1,0,0,1,0,validation,0
singleton_0140,singleton,,1,1,0,0,0,1,test,0
singleton_0141,singleton,,1,1,0,1,0,0,train,0
singleton_0142,singleton,,1,1,0,0,1,0,validation,0
singleton_0143,singleton,,1,1,0,1,0,0,train,0
singleton_0144,singleton,,1,1,0,1,0,0,train,0
singleton_0145,singleton,,1,1,0,1,0,0,train,0
singleton_0146,singleton,,1,1,0,1,0,0,train,0
singleton_0147,singleton,,1,1,0,0,1,0,validation,0
singleton_0148,singleton,,1,1,0,1,0,0,train,0
singleton_0149,singleton,,1,1,0,1,0,0,train,0
singleton_0150,singleton,,1,1,0,1,0,0,train,0
singleton_0151,singleton,,1,1,0,1,0,0,train,0
singleton_0152,singleton,,1,1,0,1,0,0,train,0
singleton_0153,singleton,,1,1,0,1,0,0,train,0
singleton_0154,singleton,,1,1,0,0,1,0,validation,0
singleton_0155,singleton,,1,1,0,1,0,0,train,0
singleton_0156,singleton,,1,1,0,1,0,0,train,0
singleton_0157,singleton,,1,1,0,1,0,0,train,0
singleton_0158,singleton,,1,1,0,0,1,0,validation,0
singleton_0159,singleton,,1,1,0,1,0,0,train,0
singleton_0160,singleton,,1,1,0,1,0,0,train,0
singleton_0161,singleton,,1,1,0,0,0,1,test,0
singleton_0162,singleton,,1,1,0,1,0,0,train,0
singleton_0163,singleton,,1,1,0,1,0,0,train,0
singleton_0164,singleton,,1,1,0,0,1,0,validation,0
singleton_0165,singleton,,1,1,0,1,0,0,train,0
singleton_0166,singleton,,1,1,0,1,0,0,train,0
singleton_0167,singleton,,1,1,0,1,0,0,train,0
singleton_0168,singleton,,1,1,0,1,0,0,train,0
singleton_0169,singleton,,1,1,0,1,0,0,train,0
singleton_0170,singleton,,1,1,0,1,0,0,train,0
singleton_0171,singleton,,1,1,0,1,0,0,train,0
singleton_0172,singleton,,1,1,0,1,0,0,train,0
singleton_0173,singleton,,1,1,0,1,0,0,train,0
singleton_0174,singleton,,1,1,0,1,0,0,train,0
singleton_0175,singleton,,1,1,0,1,0,0,train,0
singleton_0176,singleton,,1,1,0,1,0,0,train,0
singleton_0177,singleton,,1,1,0,1,0,0,train,0
singleton_0178,singleton,,1,1,0,1,0,0,train,0
singleton_0179,singleton,,1,1,0,1,0,0,train,0
singleton_0180,singleton,,1,1,0,0,0,1,test,0
singleton_0181,singleton,,1,1,0,1,0,0,train,0
singleton_0182,singleton,,1,1,0,1,0,0,train,0
singleton_0183,singleton,,1,1,0,1,0,0,train,0
singleton_0184,singleton,,1,1,0,1,0,0,train,0
singleton_0185,singleton,,1,1,0,1,0,0,train,0
singleton_0186,singleton,,1,1,0,0,1,0,validation,0
singleton_0187,singleton,,1,1,0,1,0,0,train,0
singleton_0188,singleton,,1,1,0,1,0,0,train,0
singleton_0189,singleton,,1,1,0,1,0,0,train,0
