model,dataset,relative_path,video_sha256,theta,k,sequence_scores,detected,alert_score_index_zero_based,alert_frame_one_based,delay_seconds_at_25fps,alert_rolling_score
lstm_original_grouped,RLVS,Violence/V_159.mp4,f0cc98b3f8d868ed6af8e0c78bf650d7332baac5c1bb93ddca8d9ea6f6d9c079,0.7,5,12,1,4,40,1.600000,0.992710817
lstm_augmented_grouped,RLVS,Violence/V_159.mp4,f0cc98b3f8d868ed6af8e0c78bf650d7332baac5c1bb93ddca8d9ea6f6d9c079,0.7,7,12,1,6,50,2.000000,0.986796226
gru_original_grouped,RLVS,Violence/V_159.mp4,f0cc98b3f8d868ed6af8e0c78bf650d7332baac5c1bb93ddca8d9ea6f6d9c079,0.65,5,12,1,4,40,1.600000,0.976470995
gru_augmented_grouped,RLVS,Violence/V_159.mp4,f0cc98b3f8d868ed6af8e0c78bf650d7332baac5c1bb93ddca8d9ea6f6d9c079,0.65,10,12,1,9,65,2.600000,0.953926730
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0480.avi,7793fb508bd9619be68ae76e783fe98bd338b567f1c26726fcdda050bf40ba83,0.7,5,27,1,4,40,1.600000,0.812722158
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0480.avi,7793fb508bd9619be68ae76e783fe98bd338b567f1c26726fcdda050bf40ba83,0.7,7,27,1,6,50,2.000000,0.799286042
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0480.avi,7793fb508bd9619be68ae76e783fe98bd338b567f1c26726fcdda050bf40ba83,0.65,5,27,0,,,,
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0480.avi,7793fb508bd9619be68ae76e783fe98bd338b567f1c26726fcdda050bf40ba83,0.65,10,27,0,,,,
lstm_original_grouped,RLVS,Violence/V_900.mp4,a32bebf5ad1e8d2e9ff4a13636f5f85d11b202a3ec9222d19998e893fdceaa2d,0.7,5,22,1,4,40,1.600000,0.984218633
lstm_augmented_grouped,RLVS,Violence/V_900.mp4,a32bebf5ad1e8d2e9ff4a13636f5f85d11b202a3ec9222d19998e893fdceaa2d,0.7,7,22,1,6,50,2.000000,0.987320261
gru_original_grouped,RLVS,Violence/V_900.mp4,a32bebf5ad1e8d2e9ff4a13636f5f85d11b202a3ec9222d19998e893fdceaa2d,0.65,5,22,1,4,40,1.600000,0.994245577
gru_augmented_grouped,RLVS,Violence/V_900.mp4,a32bebf5ad1e8d2e9ff4a13636f5f85d11b202a3ec9222d19998e893fdceaa2d,0.65,10,22,1,9,65,2.600000,0.987349701
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0481.avi,39c249dc1b65d6a46d1ddc2b9fc879753d793e2551298cc7fa631aaa4b7ad160,0.7,5,27,1,4,40,1.600000,0.836642838
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0481.avi,39c249dc1b65d6a46d1ddc2b9fc879753d793e2551298cc7fa631aaa4b7ad160,0.7,7,27,1,6,50,2.000000,0.814915112
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0481.avi,39c249dc1b65d6a46d1ddc2b9fc879753d793e2551298cc7fa631aaa4b7ad160,0.65,5,27,0,,,,
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0481.avi,39c249dc1b65d6a46d1ddc2b9fc879753d793e2551298cc7fa631aaa4b7ad160,0.65,10,27,0,,,,
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0338.avi,ca7bee6da3696373b57360b44cae0e5c678992ae35bb7afc49a653af7c15bccb,0.7,5,27,1,4,40,1.600000,0.794267178
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0338.avi,ca7bee6da3696373b57360b44cae0e5c678992ae35bb7afc49a653af7c15bccb,0.7,7,27,1,6,50,2.000000,0.904136172
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0338.avi,ca7bee6da3696373b57360b44cae0e5c678992ae35bb7afc49a653af7c15bccb,0.65,5,27,1,9,65,2.600000,0.659297407
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0338.avi,ca7bee6da3696373b57360b44cae0e5c678992ae35bb7afc49a653af7c15bccb,0.65,10,27,0,,,,
lstm_original_grouped,RLVS,Violence/V_884.mp4,30c89933bb7aee258d6d953b3b6dcc7ac421de3dd7179146c2e454fd80d2140a,0.7,5,27,1,4,40,1.600000,0.994002414
lstm_augmented_grouped,RLVS,Violence/V_884.mp4,30c89933bb7aee258d6d953b3b6dcc7ac421de3dd7179146c2e454fd80d2140a,0.7,7,27,1,6,50,2.000000,0.992797119
gru_original_grouped,RLVS,Violence/V_884.mp4,30c89933bb7aee258d6d953b3b6dcc7ac421de3dd7179146c2e454fd80d2140a,0.65,5,27,1,4,40,1.600000,0.995601177
gru_augmented_grouped,RLVS,Violence/V_884.mp4,30c89933bb7aee258d6d953b3b6dcc7ac421de3dd7179146c2e454fd80d2140a,0.65,10,27,1,9,65,2.600000,0.995215762
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0210.avi,f2f275ea34421a8001872bc1410d12db7b06af2b5f1dfa23641de759787c8e75,0.7,5,27,1,4,40,1.600000,0.704265857
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0210.avi,f2f275ea34421a8001872bc1410d12db7b06af2b5f1dfa23641de759787c8e75,0.7,7,27,1,6,50,2.000000,0.792199390
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0210.avi,f2f275ea34421a8001872bc1410d12db7b06af2b5f1dfa23641de759787c8e75,0.65,5,27,1,17,105,4.200000,0.661054528
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0210.avi,f2f275ea34421a8001872bc1410d12db7b06af2b5f1dfa23641de759787c8e75,0.65,10,27,0,,,,
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0626.avi,4c42803c0d95f2bf7946639246acf3bcf115a529c78dbce7149409a7b86d7193,0.7,5,27,1,4,40,1.600000,0.969530749
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0626.avi,4c42803c0d95f2bf7946639246acf3bcf115a529c78dbce7149409a7b86d7193,0.7,7,27,1,6,50,2.000000,0.966160391
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0626.avi,4c42803c0d95f2bf7946639246acf3bcf115a529c78dbce7149409a7b86d7193,0.65,5,27,1,4,40,1.600000,0.969768751
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0626.avi,4c42803c0d95f2bf7946639246acf3bcf115a529c78dbce7149409a7b86d7193,0.65,10,27,1,9,65,2.600000,0.928993493
lstm_original_grouped,RLVS,Violence/V_837.mp4,1e1f52db06142c2fd432ac48532acc03d1b0e63d2a7a0fc480cc5e19f3638efc,0.7,5,22,1,4,40,1.600000,0.981770134
lstm_augmented_grouped,RLVS,Violence/V_837.mp4,1e1f52db06142c2fd432ac48532acc03d1b0e63d2a7a0fc480cc5e19f3638efc,0.7,7,22,1,6,50,2.000000,0.977433486
gru_original_grouped,RLVS,Violence/V_837.mp4,1e1f52db06142c2fd432ac48532acc03d1b0e63d2a7a0fc480cc5e19f3638efc,0.65,5,22,1,4,40,1.600000,0.970460296
gru_augmented_grouped,RLVS,Violence/V_837.mp4,1e1f52db06142c2fd432ac48532acc03d1b0e63d2a7a0fc480cc5e19f3638efc,0.65,10,22,1,9,65,2.600000,0.883803254
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0164.avi,6f92d379635f3996d3e7230aacca7f842a7dbed8c381b3a9e2656ff1991f3810,0.7,5,27,1,14,90,3.600000,0.703380179
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0164.avi,6f92d379635f3996d3e7230aacca7f842a7dbed8c381b3a9e2656ff1991f3810,0.7,7,27,1,6,50,2.000000,0.764230277
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0164.avi,6f92d379635f3996d3e7230aacca7f842a7dbed8c381b3a9e2656ff1991f3810,0.65,5,27,1,7,55,2.200000,0.668713975
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0164.avi,6f92d379635f3996d3e7230aacca7f842a7dbed8c381b3a9e2656ff1991f3810,0.65,10,27,1,9,65,2.600000,0.793033016
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0054.avi,a90de783a8428483b7a955a27d74d58012c85d9c04d59173b9cf601cd0408eeb,0.7,5,27,1,4,40,1.600000,0.912102342
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0054.avi,a90de783a8428483b7a955a27d74d58012c85d9c04d59173b9cf601cd0408eeb,0.7,7,27,1,6,50,2.000000,0.931627827
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0054.avi,a90de783a8428483b7a955a27d74d58012c85d9c04d59173b9cf601cd0408eeb,0.65,5,27,1,11,75,3.000000,0.672990847
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0054.avi,a90de783a8428483b7a955a27d74d58012c85d9c04d59173b9cf601cd0408eeb,0.65,10,27,0,,,,
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0554.avi,c6bc26c7c579ae70d6c6b4d24e6e0de837617ae15655c16cff890ba597021e3f,0.7,5,27,1,4,40,1.600000,0.965845132
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0554.avi,c6bc26c7c579ae70d6c6b4d24e6e0de837617ae15655c16cff890ba597021e3f,0.7,7,27,1,6,50,2.000000,0.972451721
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0554.avi,c6bc26c7c579ae70d6c6b4d24e6e0de837617ae15655c16cff890ba597021e3f,0.65,5,27,1,4,40,1.600000,0.917809963
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0554.avi,c6bc26c7c579ae70d6c6b4d24e6e0de837617ae15655c16cff890ba597021e3f,0.65,10,27,1,9,65,2.600000,0.897251725
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0008.avi,c5014b3a8d65505de79ec41cd20658666e6470c77b19772f4dac28eba473ee4b,0.7,5,27,1,4,40,1.600000,0.884897923
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0008.avi,c5014b3a8d65505de79ec41cd20658666e6470c77b19772f4dac28eba473ee4b,0.7,7,27,1,12,80,3.200000,0.754576628
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0008.avi,c5014b3a8d65505de79ec41cd20658666e6470c77b19772f4dac28eba473ee4b,0.65,5,27,1,10,70,2.800000,0.762510270
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0008.avi,c5014b3a8d65505de79ec41cd20658666e6470c77b19772f4dac28eba473ee4b,0.65,10,27,1,12,80,3.200000,0.672142634
lstm_original_grouped,RLVS,Violence/V_337.mp4,e455d708a965907bfca4fb64790f991a8c8812308a403bdf6385217fc37ba6be,0.7,5,25,1,4,40,1.600000,0.983025968
lstm_augmented_grouped,RLVS,Violence/V_337.mp4,e455d708a965907bfca4fb64790f991a8c8812308a403bdf6385217fc37ba6be,0.7,7,25,1,6,50,2.000000,0.961153499
gru_original_grouped,RLVS,Violence/V_337.mp4,e455d708a965907bfca4fb64790f991a8c8812308a403bdf6385217fc37ba6be,0.65,5,25,1,4,40,1.600000,0.987587476
gru_augmented_grouped,RLVS,Violence/V_337.mp4,e455d708a965907bfca4fb64790f991a8c8812308a403bdf6385217fc37ba6be,0.65,10,25,1,9,65,2.600000,0.945134383
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0123.avi,2b8a4a089223ed2cb418a5f893d94f08873bec99edc241bd6844d9c3608780e5,0.7,5,27,1,9,65,2.600000,0.744798982
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0123.avi,2b8a4a089223ed2cb418a5f893d94f08873bec99edc241bd6844d9c3608780e5,0.7,7,27,1,11,75,3.000000,0.745329465
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0123.avi,2b8a4a089223ed2cb418a5f893d94f08873bec99edc241bd6844d9c3608780e5,0.65,5,27,1,7,55,2.200000,0.729662561
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0123.avi,2b8a4a089223ed2cb418a5f893d94f08873bec99edc241bd6844d9c3608780e5,0.65,10,27,1,9,65,2.600000,0.660843399
lstm_original_grouped,RLVS,Violence/V_269.mp4,2da1c63853a0acb4568d8fb8ff93e9610aef5a43168cc99b2abcb1be25cd76cf,0.7,5,26,1,4,40,1.600000,0.994532955
lstm_augmented_grouped,RLVS,Violence/V_269.mp4,2da1c63853a0acb4568d8fb8ff93e9610aef5a43168cc99b2abcb1be25cd76cf,0.7,7,26,1,6,50,2.000000,0.988304990
gru_original_grouped,RLVS,Violence/V_269.mp4,2da1c63853a0acb4568d8fb8ff93e9610aef5a43168cc99b2abcb1be25cd76cf,0.65,5,26,1,4,40,1.600000,0.989752650
gru_augmented_grouped,RLVS,Violence/V_269.mp4,2da1c63853a0acb4568d8fb8ff93e9610aef5a43168cc99b2abcb1be25cd76cf,0.65,10,26,1,9,65,2.600000,0.990786809
lstm_original_grouped,RLVS,Violence/V_153.mp4,6e5df00186923938048226434ee365c4fd61fff9341acdab2d597b694f1b6be2,0.7,5,32,1,4,40,1.600000,0.994702864
lstm_augmented_grouped,RLVS,Violence/V_153.mp4,6e5df00186923938048226434ee365c4fd61fff9341acdab2d597b694f1b6be2,0.7,7,32,1,6,50,2.000000,0.994368647
gru_original_grouped,RLVS,Violence/V_153.mp4,6e5df00186923938048226434ee365c4fd61fff9341acdab2d597b694f1b6be2,0.65,5,32,1,4,40,1.600000,0.998459816
gru_augmented_grouped,RLVS,Violence/V_153.mp4,6e5df00186923938048226434ee365c4fd61fff9341acdab2d597b694f1b6be2,0.65,10,32,1,9,65,2.600000,0.997073197
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0716.avi,d1a3a2c9a4ccc7940f024fff1797792136837a9d5c2fca8d5d621433ba7a3290,0.7,5,27,1,4,40,1.600000,0.892037296
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0716.avi,d1a3a2c9a4ccc7940f024fff1797792136837a9d5c2fca8d5d621433ba7a3290,0.7,7,27,1,6,50,2.000000,0.884692797
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0716.avi,d1a3a2c9a4ccc7940f024fff1797792136837a9d5c2fca8d5d621433ba7a3290,0.65,5,27,1,4,40,1.600000,0.796403801
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0716.avi,d1a3a2c9a4ccc7940f024fff1797792136837a9d5c2fca8d5d621433ba7a3290,0.65,10,27,1,9,65,2.600000,0.842485714
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0608.avi,4ec3173c453017f398d871eafb2f38b0dfb31b3fc7df8ac2c9d2ab3ed21dfe21,0.7,5,27,1,4,40,1.600000,0.871068466
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0608.avi,4ec3173c453017f398d871eafb2f38b0dfb31b3fc7df8ac2c9d2ab3ed21dfe21,0.7,7,27,1,6,50,2.000000,0.875976878
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0608.avi,4ec3173c453017f398d871eafb2f38b0dfb31b3fc7df8ac2c9d2ab3ed21dfe21,0.65,5,27,1,4,40,1.600000,0.715940487
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0608.avi,4ec3173c453017f398d871eafb2f38b0dfb31b3fc7df8ac2c9d2ab3ed21dfe21,0.65,10,27,1,9,65,2.600000,0.767148292
lstm_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0162.avi,bf1f23192966cc8161e38223611953dac3defdb091b73a929077fd125543bbdc,0.7,5,27,1,4,40,1.600000,0.960323441
lstm_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0162.avi,bf1f23192966cc8161e38223611953dac3defdb091b73a929077fd125543bbdc,0.7,7,27,1,6,50,2.000000,0.952729753
gru_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0162.avi,bf1f23192966cc8161e38223611953dac3defdb091b73a929077fd125543bbdc,0.65,5,27,1,4,40,1.600000,0.923741591
gru_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0162.avi,bf1f23192966cc8161e38223611953dac3defdb091b73a929077fd125543bbdc,0.65,10,27,1,9,65,2.600000,0.932219708
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0172.avi,bbdfb4b713149b361b33c70bd2815c50ba169c994773324e669c871e00e8d1e6,0.7,5,27,1,4,40,1.600000,0.918561745
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0172.avi,bbdfb4b713149b361b33c70bd2815c50ba169c994773324e669c871e00e8d1e6,0.7,7,27,1,6,50,2.000000,0.916842954
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0172.avi,bbdfb4b713149b361b33c70bd2815c50ba169c994773324e669c871e00e8d1e6,0.65,5,27,1,4,40,1.600000,0.815289533
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0172.avi,bbdfb4b713149b361b33c70bd2815c50ba169c994773324e669c871e00e8d1e6,0.65,10,27,1,9,65,2.600000,0.805201387
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0664.avi,10177f67cfd3d10621d08f22be363a355cf65356a520fc3a695045c35c6262e3,0.7,5,27,1,4,40,1.600000,0.865281355
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0664.avi,10177f67cfd3d10621d08f22be363a355cf65356a520fc3a695045c35c6262e3,0.7,7,27,1,6,50,2.000000,0.763034063
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0664.avi,10177f67cfd3d10621d08f22be363a355cf65356a520fc3a695045c35c6262e3,0.65,5,27,1,5,45,1.800000,0.697493565
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0664.avi,10177f67cfd3d10621d08f22be363a355cf65356a520fc3a695045c35c6262e3,0.65,10,27,1,19,115,4.600000,0.660149586
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0240.avi,400669da13d74b1548e673f5f93fa2839243bcb55be71b05a71565215f3c78e8,0.7,5,27,1,4,40,1.600000,0.917921388
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0240.avi,400669da13d74b1548e673f5f93fa2839243bcb55be71b05a71565215f3c78e8,0.7,7,27,1,6,50,2.000000,0.898160194
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0240.avi,400669da13d74b1548e673f5f93fa2839243bcb55be71b05a71565215f3c78e8,0.65,5,27,1,4,40,1.600000,0.777293420
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0240.avi,400669da13d74b1548e673f5f93fa2839243bcb55be71b05a71565215f3c78e8,0.65,10,27,1,16,100,4.000000,0.651640075
lstm_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0064.avi,5ce640af8d5939302ede9da0b75cd5c67e60df55d97aaa8e5eb59457e5864321,0.7,5,27,1,4,40,1.600000,0.844006264
lstm_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0064.avi,5ce640af8d5939302ede9da0b75cd5c67e60df55d97aaa8e5eb59457e5864321,0.7,7,27,1,6,50,2.000000,0.718614919
gru_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0064.avi,5ce640af8d5939302ede9da0b75cd5c67e60df55d97aaa8e5eb59457e5864321,0.65,5,27,1,14,90,3.600000,0.674551129
gru_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0064.avi,5ce640af8d5939302ede9da0b75cd5c67e60df55d97aaa8e5eb59457e5864321,0.65,10,27,1,24,140,5.600000,0.659096450
lstm_original_grouped,RLVS,Violence/V_761.mp4,2b5f21652c265b7c8bb71f6751693f3ccd1d03b8b4bc2ffe0a0d83f6b177b941,0.7,5,22,1,4,40,1.600000,0.978822243
lstm_augmented_grouped,RLVS,Violence/V_761.mp4,2b5f21652c265b7c8bb71f6751693f3ccd1d03b8b4bc2ffe0a0d83f6b177b941,0.7,7,22,1,6,50,2.000000,0.968693827
gru_original_grouped,RLVS,Violence/V_761.mp4,2b5f21652c265b7c8bb71f6751693f3ccd1d03b8b4bc2ffe0a0d83f6b177b941,0.65,5,22,1,4,40,1.600000,0.917922413
gru_augmented_grouped,RLVS,Violence/V_761.mp4,2b5f21652c265b7c8bb71f6751693f3ccd1d03b8b4bc2ffe0a0d83f6b177b941,0.65,10,22,1,9,65,2.600000,0.804002911
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0125.avi,8de602b3e5f2aaef96f426f5133ae54f82a64e3c58daa4e7a49aa5440df301aa,0.7,5,27,1,4,40,1.600000,0.978883576
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0125.avi,8de602b3e5f2aaef96f426f5133ae54f82a64e3c58daa4e7a49aa5440df301aa,0.7,7,27,1,6,50,2.000000,0.979114873
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0125.avi,8de602b3e5f2aaef96f426f5133ae54f82a64e3c58daa4e7a49aa5440df301aa,0.65,5,27,1,4,40,1.600000,0.949560857
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0125.avi,8de602b3e5f2aaef96f426f5133ae54f82a64e3c58daa4e7a49aa5440df301aa,0.65,10,27,1,9,65,2.600000,0.983978498
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0535.avi,9888a2dc86c9d55a901b780afae481ca8503ca17421349c7cc3a38f23a231e26,0.7,5,27,1,4,40,1.600000,0.914798403
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0535.avi,9888a2dc86c9d55a901b780afae481ca8503ca17421349c7cc3a38f23a231e26,0.7,7,27,1,6,50,2.000000,0.859088855
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0535.avi,9888a2dc86c9d55a901b780afae481ca8503ca17421349c7cc3a38f23a231e26,0.65,5,27,1,4,40,1.600000,0.818337882
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0535.avi,9888a2dc86c9d55a901b780afae481ca8503ca17421349c7cc3a38f23a231e26,0.65,10,27,1,9,65,2.600000,0.929518747
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0575.avi,9b903e7cffb458fdbab7d376374a09de08bc4a634e361c0c089fb9a253052a71,0.7,5,27,1,4,40,1.600000,0.963360834
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0575.avi,9b903e7cffb458fdbab7d376374a09de08bc4a634e361c0c089fb9a253052a71,0.7,7,27,1,6,50,2.000000,0.890633421
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0575.avi,9b903e7cffb458fdbab7d376374a09de08bc4a634e361c0c089fb9a253052a71,0.65,5,27,1,4,40,1.600000,0.850103474
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0575.avi,9b903e7cffb458fdbab7d376374a09de08bc4a634e361c0c089fb9a253052a71,0.65,10,27,1,9,65,2.600000,0.931286961
lstm_original_grouped,RLVS,Violence/V_606.mp4,f43caa9ae2a2cea7758282147cf7c95e68376d2fd30f0dd792abb4c44c27bb60,0.7,5,34,1,4,40,1.600000,0.980228722
lstm_augmented_grouped,RLVS,Violence/V_606.mp4,f43caa9ae2a2cea7758282147cf7c95e68376d2fd30f0dd792abb4c44c27bb60,0.7,7,34,1,6,50,2.000000,0.987248846
gru_original_grouped,RLVS,Violence/V_606.mp4,f43caa9ae2a2cea7758282147cf7c95e68376d2fd30f0dd792abb4c44c27bb60,0.65,5,34,1,4,40,1.600000,0.993518841
gru_augmented_grouped,RLVS,Violence/V_606.mp4,f43caa9ae2a2cea7758282147cf7c95e68376d2fd30f0dd792abb4c44c27bb60,0.65,10,34,1,9,65,2.600000,0.994927782
